--, IBI
2948.853732,0.765660
2949.650643,0.796911
2957.432250,0.796911
2958.213535,0.781286
2958.979195,0.765660
2959.760481,0.781286
2960.541767,0.781286
2961.323053,0.781286
2962.119964,0.796911
2962.901250,0.781286
2963.682536,0.781286
2964.479447,0.796911
2965.245107,0.765660
2966.026393,0.781286
2966.823304,0.796911
2967.620216,0.796911
2968.401502,0.781286
2969.167162,0.765660
2969.964073,0.796911
2970.760985,0.796911
2971.526645,0.765660
2972.307930,0.781286
2973.089216,0.781286
2973.870502,0.781286
2974.667413,0.796911
2975.448699,0.781286
2976.198734,0.750034
3003.871875,0.750034
